,,,,,,,
,,,,,,,
,,,,,,,
CVE_ENT,Entidad federativa,Gran sector y tamaño del establecimiento,Población inicial1,Nacimientos2,Muertes2,Población actual2,
11,Guanajuato,Micro, 164 723, 24 086, 34 080, 154 730,
11,Guanajuato,PyME´s, 1 984,  22,  529, 1 477,
11,Guanajuato,Servicios Privados no Financieros, 88 634, 11 571, 19 317, 80 888,
11,Guanajuato,Micro, 85 173, 11 473, 18 599, 78 048,
11,Guanajuato,PyME´s, 3 461,  98,  718, 2 841,
12,Guerrero,Total, 141 580, 12 944, 21 778, 132 747,
12,Guerrero,Micro, 140 098, 12 934, 21 478, 131 554,
12,Guerrero,PyME´s, 1 482,  10,  299, 1 193,
12,Guerrero,Manufacturas, 47 228, 1 657, 3 434, 45 451,
12,Guerrero,Micro, 47 067, 1 657, 3 422, 45 303,
12,Guerrero,PyME´s,  161,  0,  12,  149,
12,Guerrero,Comercio, 53 294, 6 386, 9 096, 50 584,
12,Guerrero,Micro, 52 773, 6 386, 9 013, 50 146,
12,Guerrero,PyME´s,  522,  0,  83,  439,
12,Guerrero,Servicios Privados no Financieros, 41 058, 4 901, 9 248, 36 711,
12,Guerrero,Micro, 40 258, 4 891, 9 044, 36 105,
12,Guerrero,PyME´s,  800,  10,  204,  606,
13,Hidalgo,Total, 125 705, 23 150, 28 995, 119 860,
13,Hidalgo,Micro, 123 567, 23 073, 28 557, 118 082,
13,Hidalgo,PyME´s, 2 139,  77,  438, 1 778,
13,Hidalgo,Manufacturas, 13 958, 2 058, 2 501, 13 515,
13,Hidalgo,Micro, 13 411, 2 058, 2 337, 13 132,
13,Hidalgo,PyME´s,  548,  0,  164,  384,
13,Hidalgo,Comercio, 65 531, 12 581, 14 215, 63 897,
13,Hidalgo,Micro, 64 891, 12 581, 14 094, 63 378,
13,Hidalgo,PyME´s,  640,  0,  121,  519,
13,Hidalgo,Servicios Privados no Financieros, 46 216, 8 511, 12 279, 42 448,
13,Hidalgo,Micro, 45 265, 8 434, 12 126, 41 572,
13,Hidalgo,PyME´s,  951,  77,  152,  876,
14,Jalisco,Total, 311 700, 34 718, 58 128, 288 290,
14,Jalisco,Micro, 299 833, 34 359, 55 766, 278 426,
14,Jalisco,PyME´s, 11 867,  359, 2 362, 9 864,
14,Jalisco,Manufacturas, 34 690, 3 276, 6 261, 31 705,
14,Jalisco,Micro, 31 739, 3 213, 5 663, 29 288,
14,Jalisco,PyME´s, 2 952,  63,  598, 2 417,
14,Jalisco,Comercio, 145 914, 15 981, 25 162, 136 733,
14,Jalisco,Micro, 142 059, 15 881, 24 411, 133 529,
14,Jalisco,PyME´s, 3 855,  100,  751, 3 204,
14,Jalisco,Servicios Privados no Financieros, 131 095, 15 462, 26 704, 119 853,
14,Jalisco,Micro, 126 036, 15 265, 25 692, 115 609,
14,Jalisco,PyME´s, 5 060,  197, 1 012, 4 244,
15,Estado de México,Total, 594 855, 83 464, 126 507, 551 812,
15,Estado de México,Micro, 580 551, 83 133, 123 860, 539 824,
